x;y;z;vx;vy;vz;rpmFR;rpmFL;rpmRR;rpmRL;ThetaX;ThetaY;ThetaZ;alphaFR;alphaFL;speed;rpm;frame;gearRatio;steer;steer_input;omegaFL;omegaFR;omegaRL;omegaRR;latitude;longitude;height
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;70;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;71;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;72;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;73;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;74;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;75;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;76;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;77;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;78;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;79;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
